Designator,Mid X,Mid Y,Rotation,Layer
Boot1,136.5,-84.25,0.0,top
C1,111.5,-86.868,180.0,top
C10,142.748,-69.723,0.0,top
C11,126.5,-95.5,0.0,top
C2,116.078,-89.903,270.0,top
C3,115.049,-86.868,0.0,top
C4,120.534954,-43.601047,270.0,top
C5,144.018,-39.751,270.0,top
C6,120.523,-39.751,90.0,top
C8,147.828,-88.646,180.0,top
D1,110.364,-82.5,0.0,top
D2,153.101011,-81.183905,90.0,top
D3,139.065,-98.679,90.0,top
D4,144.399,-98.679,90.0,top
D5,141.732,-98.679,90.0,top
D6,147.066,-98.679,90.0,top
IC1,132.434,-48.442,0.0,top
J1,110.202362,-65.229899,90.0,top
J10,110.216,-55.118,90.0,top
J12,152.908,-105.136,180.0,top
J13,143.256,-74.95,180.0,top
J14,109.728,-105.136,180.0,top
J15,152.928,-54.864,270.0,top
J16,153.543,-93.599,90.0,top
J17,152.888,-69.088,90.0,top
J3,136.271,-105.136,0.0,top
J4,145.288,-105.136,0.0,top
J5,110.216,-75.23,90.0,top
J6,152.888,-43.434,90.0,top
J7,119.634,-74.95,180.0,top
J8,110.216,-43.688,90.0,top
J9,131.572,-74.95,180.0,top
Q1,116.0,-82.296,180.0,top
Q4,135.75,-93.5,270.0,top
R1,108.5,-87.0,90.0,top
R10,131.5,-92.5,0.0,top
R12,146.304,-66.421,270.0,top
R13,131.5,-98.7575,180.0,top
R14,147.828,-91.948,0.0,top
R15,113.844401,-92.75,0.0,top
R16,113.831593,-94.813377,0.0,top
R2,119.0,-86.931,90.0,top
R3,152.908,-85.5,270.0,top
R4,149.797,-80.772,180.0,top
R5,139.57277,-63.226091,270.0,top
R7,130.5,-85.027,270.0,top
R8,131.5,-96.7255,0.0,top
R9,131.5,-94.6935,0.0,top
Reset1,124.75,-84.25,0.0,top
SW1,108.75,-93.5,0.0,top
U1,112.395,-90.043,270.0,top
U2,150.048,-84.1955,90.0,top
U3,120.0,-96.5,270.0,top
U4,141.986,-93.091,270.0,top
