Designator,Footprint,Quantity,Value,LCSC Part #,Digikey Part no
"C1, C2, C3, C4, C5",603,5,10uF,C5137578,1276-1119-1-ND
"C10, C11, C6, C8, C9",603,5,1uF,C363560,1276-6524-1-ND
C7,603,1,4.7uF,C5252398,1276-1044-1-ND
"D1, D3, D4, D5, D6",D_SOD-123,5,MBR0540,C116159,MBR0540T1GOSCT-ND
D2,603,1,orange,C779453,160-1447-1-ND
IC1,ESP32S3WROOM1UN4,1,ESP32-S3-WROOM-1U-N4,C3013945,1965-ESP32-S3-WROOM-1U-N16R8CT-ND
Q1,SOT-23,1,DMG3415U,C96616,DMG3415UDICT-ND
"Q2, Q4",SOT-23,2,SS8050-G,C5249674,641-1790-1-ND
Q3,SOT-23,1,SS8050-G,C5249674,641-1790-1-ND
"R1, R2",603,2,100K,C25803,RMCF0603FT100KCT-ND
"R10, R13",603,2,20K,C25804,541-2797-1-ND
"R11, R6",603,2,12K,C22790,RHM12KDCT-ND
"R12, R14, R15, R16, R17, R5, R7, R8, R9",603,9,10K,C25804,RMCF0603FT10K0CT-ND
"R3, R4",603,2,5.1K,C23186,CR0603-FX-5101ELFCT-ND
U1,SOT25,1,AP2112K-3.3TRG1,C51118,AP2112K-3.3TRG1DICT-ND
U2,SOT-23-5,1,MCP73831-2-OT,C424093,MCP73831T-2ACI/OTCT-ND
U3,SMT_FS,1,Boot,,CKN12221-1-ND
U4,SOIC-8_3.9x4.9mm_P1.27mm,1,MAX485E,C19738,MAX485ECSA+TCT-ND
U5,SMT_FS,1,Reset,,CKN12221-1-ND
U6,VSSOP-10_3x3mm_P0.5mm,1,ADS1115IDGSR,C37593,296-38849-1-ND
